기간,국가,수출 건수,수출 금액,수입 건수,수입 금액,무역수지
"2023","그레나다",102,4221,9,23,4198
"2023","메요트",36,3808,2,9,3800
"2023","감비아",568,3693,63,6407,-2714
"2023","챠드",62,3641,5,93011,-89370
"2023","영령 버진군도",45,3632,7,8,3623
"2023","보츠와나",132,3627,46,405,3221
"2023","투발루",72,3387,15,3896,-510
"2023","통가",38,3042,25,451,2591
"2023","부룬디",258,2968,27,237,2731
"2023","티모르",68,2845,25,562,2283
"2023","남수단",61,2713,3,22,2690
"2023","적도 기니",79,2477,10,245801,-243324
"2023","스와질랜드",142,2458,144,626,1832
"2023","도미니카",112,2184,23,1483,702
"2023","레소토",4,2001,23,350,1651
"2023","세인트 키츠 네비스",62,1746,48,41,1705
"2023","카보 베르데",47,1594,6,4,1590
"2023","투르크 & 카이코스 군도",31,1577,2,1,1576
"2023","상토메 프린스페",21,1434,4,123,1310
"2023","에리트리아",24,1220,9,42066,-40846
"2023","나우루",65,1061,15,17851,-16790
"2023","세인트 빈센트 그레나딘",28,1043,2,1,1043
"2023","산마리노",34,666,126,4528,-3861
"2023","모나코",27,524,118,3418,-2894
"2023","중앙아프리카공화국",16,484,2,68,416
"2023","세인트마틴(생마르탱)",38,416,0,0,416
"2023","세인트 바르탤르미",13,175,3,1,174
"2023","그린랜드",83,156,24,867,-712
"2023","미령 버진군도",67,113,13,47,66
"2023","건지",21,108,7,9,99
"2023","교황청",4,103,2,244,-141
"2023","기네비소",9,103,23,1623,-1520
"2023","코모로스",39,98,14,31,67
"2023","앙귈라",29,96,5,10,86
"2023","몬트세라트",8,63,8,30,33
"2023","보네르 신트외스타티위스",11,55,0,2,54
"2023","안도라",30,49,50,65,-17
"2023","쿡 아일랜드",8,35,3,11,24
"2023","코스 군도",4,32,9,12,20
"2023","왈라스 & 퓨투나 군도",4,26,0,0,26
"2023","포클랜드 군도",5,22,4,719,-697
"2023","토켈라우",3,17,12,108,-91
"2023","알랜드 군도",1,15,0,0,15
"2023","세인트 헬레나",1,10,6,31,-21
"2023","영령 인도양",1,10,0,1,8
"2023","노폴크 아일랜드",2,6,0,0,6
"2023","파로에 군도",16,5,12,833,-829
"2023","저어지",10,1,24,16,-15
"2023","남조지아 & 남샌드위치 군도",1,1,1,3,-2
"2023","니우에",1,1,17,182,-182
"2023","스발비드 군도",0,0,2,1,-1
"2023","불령 남부지역",0,0,0,9,-9
"2023","마이너 아우틀링 합중국 군도",0,0,14,1227,-1227
"2023","크리스마스 아일랜드",0,0,9,5,-5
"2023","허드 앤 맥도날드 군도",0,0,1,183,-183
